,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]","[-31, 0, -21, -8, -20, -8, 4, -20, 11, 4, -8, -11, 3, -28]","[5, -9, 6, -26, 13, -29, -6, -19, -18, 2, -6, -6, 6, -18]","[6, -22, 8, -56, 22, -62, -16, -42, -40, 0, -16, -16, 8, -40]","[0.3333333333333333, -0.09090909090909091, 0.25, -0.03571428571428571, 0.09090909090909091, -0.03225806451612903, -0.125, -0.047619047619047616, -0.05, 'ZeroDivisionError', -0.125, -0.125, 0.25, -0.05]","[3, -11, 4, -28, 11, -31, -8, 2, -21, -20, 0, -8, -8, 4, -20]","[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, -20]",-133,-133,-105,-266,error,-131,-137,No-violate,Violate,error,No-violate,No-violate,0,1,error,0,0
1,"[15, -20, -11, 9]","[15, 9, -11, -20]","[17, -18, -9, 11]","[30, -40, -22, 18]","[0.06666666666666667, -0.05, -0.09090909090909091, 0.1111111111111111]","[15, -20, -11, 2, 9]","[15, -20, -11]",-7,-7,1,-14,0.036868686868686856,-5,-16,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
2,"[-12, 14, -22, -23, -6, -12, 0, -15, -12, -1, 7]","[-1, -12, -12, -15, -6, 7, -12, -22, 0, 14, -23]","[-10, 16, -20, -21, -4, -10, 2, -13, -10, 1, 9]","[-24, 28, -44, -46, -12, -24, 0, -30, -24, -2, 14]","[-0.08333333333333333, 0.07142857142857142, -0.045454545454545456, -0.043478260869565216, -0.16666666666666666, -0.08333333333333333, 'ZeroDivisionError', -0.06666666666666667, -0.08333333333333333, -1.0, 0.14285714285714285]","[2, -12, 14, -22, -23, -6, -12, 0, -15, -12, -1, 7]","[-12, 14, -22, -23, -6, -12, 0, -15, -12, -1]",-82,-82,-60,-164,error,-80,-89,No-violate,Violate,error,No-violate,No-violate,0,1,error,0,0
3,"[7, -25]","[-25, 7]","[9, -23]","[14, -50]","[0.14285714285714285, -0.04]","[2, 7, -25]",[7],-18,-18,-14,-36,0.10285714285714284,-16,7,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
4,"[-22, 6, 2, -6]","[2, -6, -22, 6]","[-20, 8, 4, -4]","[-44, 12, 4, -12]","[-0.045454545454545456, 0.16666666666666666, 0.5, -0.16666666666666666]","[-22, 2, 6, 2, -6]","[-22, 2, -6]",-20,-20,-12,-40,0.4545454545454546,-18,-26,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
5,[-18],[-18],[-16],[-36],[-0.05555555555555555],"[-18, 2]",[],-18,-18,-16,-36,-0.05555555555555555,-16,0,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
6,"[4, 7, -10, 22, -19]","[-19, 4, 22, 7, -10]","[6, 9, -8, 24, -17]","[8, 14, -20, 44, -38]","[0.25, 0.14285714285714285, -0.1, 0.045454545454545456, -0.05263157894736842]","[2, 4, 7, -10, 22, -19]","[4, 7, 22, -19]",4,4,14,8,0.28568010936431987,6,14,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,1
7,"[4, -2, 13, -15, -3, -10, 19, 14, -25]","[-25, 13, 19, 14, -10, 4, -3, -15, -2]","[6, 0, 15, -13, -1, -8, 21, 16, -23]","[8, -4, 26, -30, -6, -20, 38, 28, -50]","[0.25, -0.5, 0.07692307692307693, -0.06666666666666667, -0.3333333333333333, -0.1, 0.05263157894736842, 0.07142857142857142, -0.04]","[4, -2, 2, 13, -15, -3, -10, 19, 14, -25]","[4, -2, 13, -3, -10, 19, 14, -25]",-5,-5,13,-10,-0.5890167727009832,-3,10,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
8,"[10, -19, 10, -7, -30, 5, -19, -20]","[10, 10, -19, 5, -30, -19, -20, -7]","[12, -17, 12, -5, -28, 7, -17, -18]","[20, -38, 20, -14, -60, 10, -38, -40]","[0.1, -0.05263157894736842, 0.1, -0.14285714285714285, -0.03333333333333333, 0.2, -0.05263157894736842, -0.05]","[2, 10, -19, 10, -7, -30, 5, -19, -20]","[10, -19, 10, -7, -30, 5, -19]",-70,-70,-54,-140,0.06854636591478701,-68,-50,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
9,"[4, -16, -7, -14]","[4, -14, -16, -7]","[6, -14, -5, -12]","[8, -32, -14, -28]","[0.25, -0.0625, -0.14285714285714285, -0.07142857142857142]","[4, -16, -7, -14, 2]","[4, -16, -14]",-33,-33,-25,-66,-0.026785714285714274,-31,-26,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
10,"[-27, -3]","[-3, -27]","[-25, -1]","[-54, -6]","[-0.037037037037037035, -0.3333333333333333]","[-27, 2, -3]",[-3],-30,-30,-26,-60,-0.37037037037037035,-28,-3,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
11,"[0, 10, -2, 0]","[-2, 0, 10, 0]","[2, 12, 0, 2]","[0, 20, -4, 0]","['ZeroDivisionError', 0.1, -0.5, 'ZeroDivisionError']","[0, 10, -2, 2, 0]","[0, -2, 0]",8,8,16,16,error,10,-2,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
12,"[-17, 23, 7, -15, 11, -23, -24, -2, -25]","[-2, -24, -25, 7, 23, -23, -15, -17, 11]","[-15, 25, 9, -13, 13, -21, -22, 0, -23]","[-34, 46, 14, -30, 22, -46, -48, -4, -50]","[-0.058823529411764705, 0.043478260869565216, 0.14285714285714285, -0.06666666666666667, 0.09090909090909091, -0.043478260869565216, -0.041666666666666664, -0.5, -0.04]","[-17, 23, 7, -15, 2, 11, -23, -24, -2, -25]","[-17, 23, 7, -15, -23, -24, -2, -25]",-65,-65,-47,-130,-0.47339062897886425,-63,-76,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
13,"[-5, -20, -6, -3, -5, -11, -25]","[-20, -25, -6, -5, -5, -11, -3]","[-3, -18, -4, -1, -3, -9, -23]","[-10, -40, -12, -6, -10, -22, -50]","[-0.2, -0.05, -0.16666666666666666, -0.3333333333333333, -0.2, -0.09090909090909091, -0.04]","[-5, 2, -20, -6, -3, -5, -11, -25]","[-5, -20, -6, -5, -11, -25]",-75,-75,-61,-150,-1.0809090909090908,-73,-72,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
14,"[-24, -11, 8, -18, 12, -18, -19, 10, 3, 8, 6, -3, -6]","[8, 8, -19, 12, -3, -18, -6, 6, -18, 10, -11, -24, 3]","[-22, -9, 10, -16, 14, -16, -17, 12, 5, 10, 8, -1, -4]","[-48, -22, 16, -36, 24, -36, -38, 20, 6, 16, 12, -6, -12]","[-0.041666666666666664, -0.09090909090909091, 0.125, -0.05555555555555555, 0.08333333333333333, -0.05555555555555555, -0.05263157894736842, 0.1, 0.3333333333333333, 0.125, 0.16666666666666666, -0.3333333333333333, -0.16666666666666666]","[-24, -11, 8, -18, 12, 2, -18, -19, 10, 3, 8, 6, -3, -6]","[-24, -11, 8, -18, 12, -18, -19, 10, 3, 6, -3, -6]",-52,-52,-26,-104,0.13701488569909628,-50,-60,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
15,[],[],[],[],[],[2],[],0,0,0,0,0,2,0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
16,"[-27, -2, -18, -1, -7, 17, 5, -25]","[-27, -25, 5, -2, -7, -18, 17, -1]","[-25, 0, -16, 1, -5, 19, 7, -23]","[-54, -4, -36, -2, -14, 34, 10, -50]","[-0.037037037037037035, -0.5, -0.05555555555555555, -1.0, -0.14285714285714285, 0.058823529411764705, 0.2, -0.04]","[-27, -2, 2, -18, -1, -7, 17, 5, -25]","[-27, -2, -18, -1, -7, 17, -25]",-58,-58,-42,-116,-1.5166262060379707,-56,-63,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
17,"[-13, 21, 18, -20, -29, -2, 2, -11, -16]","[-11, -2, 21, -29, -16, 18, 2, -20, -13]","[-11, 23, 20, -18, -27, 0, 4, -9, -14]","[-26, 42, 36, -40, -58, -4, 4, -22, -32]","[-0.07692307692307693, 0.047619047619047616, 0.05555555555555555, -0.05, -0.034482758620689655, -0.5, 0.5, -0.09090909090909091, -0.0625]","[-13, 2, 21, 18, -20, -29, -2, 2, -11, -16]","[-13, 21, 18, -20, -2, 2, -11, -16]",-50,-50,-32,-100,-0.2116403232782543,-48,-21,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
18,"[15, -28, 21, -27, -3, -6, -27]","[-3, -27, 15, -6, -27, 21, -28]","[17, -26, 23, -25, -1, -4, -25]","[30, -56, 42, -54, -6, -12, -54]","[0.06666666666666667, -0.03571428571428571, 0.047619047619047616, -0.037037037037037035, -0.3333333333333333, -0.16666666666666666, -0.037037037037037035]","[15, -28, 21, -27, -3, -6, -27, 2]","[15, -28, 21, -27, -3, -27]",-55,-55,-41,-110,-0.4955026455026455,-53,-49,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
19,"[-4, -25, 24, 14, 23, -16, -21, -24, -16, -25, -9, 14]","[14, 24, -21, -16, -25, -9, -16, 23, 14, -4, -25, -24]","[-2, -23, 26, 16, 25, -14, -19, -22, -14, -23, -7, 16]","[-8, -50, 48, 28, 46, -32, -42, -48, -32, -50, -18, 28]","[-0.25, -0.04, 0.041666666666666664, 0.07142857142857142, 0.043478260869565216, -0.0625, -0.047619047619047616, -0.041666666666666664, -0.0625, -0.04, -0.1111111111111111, 0.07142857142857142]","[2, -4, -25, 24, 14, 23, -16, -21, -24, -16, -25, -9, 14]","[-4, -25, 24, 14, 23, -16, -21, -24, -16, -9, 14]",-65,-65,-41,-130,-0.4273947550034506,-63,-40,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
20,"[-9, -3, 0, 17, -10, 9]","[9, -9, -3, 17, 0, -10]","[-7, -1, 2, 19, -8, 11]","[-18, -6, 0, 34, -20, 18]","[-0.1111111111111111, -0.3333333333333333, 'ZeroDivisionError', 0.058823529411764705, -0.1, 0.1111111111111111]","[-9, -3, 0, 17, 2, -10, 9]","[-9, -3, 17, -10, 9]",4,4,16,8,error,6,4,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
21,"[-17, -9, 5, -14, 2, -19, -4, 0, -17, -24, -25, 18, -16]","[-25, -17, -9, 2, -24, -17, 0, 5, 18, -4, -16, -19, -14]","[-15, -7, 7, -12, 4, -17, -2, 2, -15, -22, -23, 20, -14]","[-34, -18, 10, -28, 4, -38, -8, 0, -34, -48, -50, 36, -32]","[-0.058823529411764705, -0.1111111111111111, 0.2, -0.07142857142857142, 0.5, -0.05263157894736842, -0.25, 'ZeroDivisionError', -0.058823529411764705, -0.041666666666666664, -0.04, 0.05555555555555555, -0.0625]","[-17, -9, 2, 5, -14, 2, -19, -4, 0, -17, -24, -25, 18, -16]","[-17, -9, 5, -14, 2, -19, 0, -17, -24, -25, 18, -16]",-120,-120,-94,-240,error,-118,-116,No-violate,Violate,error,No-violate,Violate,0,1,error,0,1
22,"[11, -23, 0, 8, -25, -6, 1, 5, -4, -15, 3, 6, -22]","[-6, 1, -23, -4, 5, -15, 8, 0, -25, 6, 3, 11, -22]","[13, -21, 2, 10, -23, -4, 3, 7, -2, -13, 5, 8, -20]","[22, -46, 0, 16, -50, -12, 2, 10, -8, -30, 6, 12, -44]","[0.09090909090909091, -0.043478260869565216, 'ZeroDivisionError', 0.125, -0.04, -0.16666666666666666, 1.0, 0.2, -0.25, -0.06666666666666667, 0.3333333333333333, 0.16666666666666666, -0.045454545454545456]","[11, -23, 0, 8, -25, -6, 1, 5, 2, -4, -15, 3, 6, -22]","[11, -23, 0, 8, -25, -6, 5, -4, -15, 3, 6, -22]",-61,-61,-35,-122,error,-59,-62,No-violate,Violate,error,No-violate,No-violate,0,1,error,0,0
23,"[-22, 27, -23, -22, 16, 10, 18, 23, 5, 19, 1, 16, -5]","[23, -23, 19, 10, 16, 18, -5, 1, 16, 5, 27, -22, -22]","[-20, 29, -21, -20, 18, 12, 20, 25, 7, 21, 3, 18, -3]","[-44, 54, -46, -44, 32, 20, 36, 46, 10, 38, 2, 32, -10]","[-0.045454545454545456, 0.037037037037037035, -0.043478260869565216, -0.045454545454545456, 0.0625, 0.1, 0.05555555555555555, 0.043478260869565216, 0.2, 0.05263157894736842, 1.0, 0.0625, -0.2]","[-22, 27, 2, -23, -22, 16, 10, 18, 23, 5, 19, 1, 16, -5]","[-22, 27, -23, -22, 16, 10, 18, 23, 5, 19, 16, -5]",63,63,89,126,1.2793150806308702,65,62,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
24,"[2, -2, 29, 18, 29, 6, 22, 4, 19, 1, 31]","[22, 2, 6, 4, 1, 29, 31, 18, -2, 19, 29]","[4, 0, 31, 20, 31, 8, 24, 6, 21, 3, 33]","[4, -4, 58, 36, 58, 12, 44, 8, 38, 2, 62]","[0.5, -0.5, 0.034482758620689655, 0.05555555555555555, 0.034482758620689655, 0.16666666666666666, 0.045454545454545456, 0.25, 0.05263157894736842, 1.0, 0.03225806451612903]","[2, 2, -2, 29, 18, 29, 6, 22, 4, 19, 1, 31]","[2, -2, 29, 18, 29, 6, 22, 4, 19, 31]",159,159,181,318,1.6715319283816443,161,158,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
25,"[-17, -11, 23, 16, 9, 16, 12]","[-17, 23, 16, -11, 16, 12, 9]","[-15, -9, 25, 18, 11, 18, 14]","[-34, -22, 46, 32, 18, 32, 24]","[-0.058823529411764705, -0.09090909090909091, 0.043478260869565216, 0.0625, 0.1111111111111111, 0.0625, 0.08333333333333333]","[-17, 2, -11, 23, 16, 9, 16, 12]","[-11, 23, 16, 9, 16, 12]",48,48,62,96,0.21319008499315406,50,65,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,1
26,"[14, 4, 13, -15, 12, 0, -8]","[-8, 0, 13, 14, 12, -15, 4]","[16, 6, 15, -13, 14, 2, -6]","[28, 8, 26, -30, 24, 0, -16]","[0.07142857142857142, 0.25, 0.07692307692307693, -0.06666666666666667, 0.08333333333333333, 'ZeroDivisionError', -0.125]","[14, 4, 13, -15, 12, 0, -8, 2]","[14, 4, 13, -15, 12, -8]",20,20,34,40,error,22,20,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
27,"[-17, 10, -28, -7, -9, 11, -23, -1, -4, -15, 21]","[21, -15, -1, -4, -28, -9, 11, -17, 10, -7, -23]","[-15, 12, -26, -5, -7, 13, -21, 1, -2, -13, 23]","[-34, 20, -56, -14, -18, 22, -46, -2, -8, -30, 42]","[-0.058823529411764705, 0.1, -0.03571428571428571, -0.14285714285714285, -0.1111111111111111, 0.09090909090909091, -0.043478260869565216, -1.0, -0.25, -0.06666666666666667, 0.047619047619047616]","[-17, 10, 2, -28, -7, -9, 11, -23, -1, -4, -15, 21]","[-17, 10, -28, -9, 11, -23, -1, -4, -15, 21]",-62,-62,-40,-124,-1.4701228581023977,-60,-55,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
28,"[-9, -25]","[-25, -9]","[-7, -23]","[-18, -50]","[-0.1111111111111111, -0.04]","[-9, -25, 2]",[-25],-34,-34,-30,-68,-0.1511111111111111,-32,-25,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
29,"[-15, 0, 10, 0, -14, 13]","[0, -14, 10, 0, -15, 13]","[-13, 2, 12, 2, -12, 15]","[-30, 0, 20, 0, -28, 26]","[-0.06666666666666667, 'ZeroDivisionError', 0.1, 'ZeroDivisionError', -0.07142857142857142, 0.07692307692307693]","[2, -15, 0, 10, 0, -14, 13]","[-15, 10, 0, -14, 13]",-6,-6,6,-12,error,-4,-6,No-violate,Violate,error,No-violate,No-violate,0,1,error,0,0
30,"[25, 26, 7, 14, 23]","[26, 14, 7, 25, 23]","[27, 28, 9, 16, 25]","[50, 52, 14, 28, 46]","[0.04, 0.038461538461538464, 0.14285714285714285, 0.07142857142857142, 0.043478260869565216]","[25, 26, 7, 2, 14, 23]","[25, 26, 7, 14]",95,95,105,190,0.33622551361681796,97,72,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
31,"[4, -22, 2, -12, 3, -12, -13, -19, 15, -17]","[-22, -19, 15, -12, 2, -17, 3, 4, -12, -13]","[6, -20, 4, -10, 5, -10, -11, -17, 17, -15]","[8, -44, 4, -24, 6, -24, -26, -38, 30, -34]","[0.25, -0.045454545454545456, 0.5, -0.08333333333333333, 0.3333333333333333, -0.08333333333333333, -0.07692307692307693, -0.05263157894736842, 0.06666666666666667, -0.058823529411764705]","[4, -22, 2, -12, 3, -12, -13, -19, 2, 15, -17]","[4, -22, 2, -12, 3, -12, -19, 15, -17]",-71,-71,-51,-142,0.7495006025965778,-69,-58,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
32,"[12, -17, -3, -20]","[12, -17, -20, -3]","[14, -15, -1, -18]","[24, -34, -6, -40]","[0.08333333333333333, -0.058823529411764705, -0.3333333333333333, -0.05]","[12, 2, -17, -3, -20]","[12, -3, -20]",-28,-28,-20,-56,-0.3588235294117647,-26,-11,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
33,"[14, 24, -5, -21, 26, 22, -3, -15]","[14, -5, 22, -15, -21, -3, 26, 24]","[16, 26, -3, -19, 28, 24, -1, -13]","[28, 48, -10, -42, 52, 44, -6, -30]","[0.07142857142857142, 0.041666666666666664, -0.2, -0.047619047619047616, 0.038461538461538464, 0.045454545454545456, -0.3333333333333333, -0.06666666666666667]","[14, 24, -5, -21, 2, 26, 22, -3, -15]","[14, 24, -5, -21, 22, -3, -15]",42,42,58,84,-0.4506077256077256,44,16,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
34,"[11, 19, 22, -2, -3, -13, 3, 24, -3, -1, 7]","[-3, -1, 22, 19, 7, 24, -2, -13, 11, -3, 3]","[13, 21, 24, 0, -1, -11, 5, 26, -1, 1, 9]","[22, 38, 44, -4, -6, -26, 6, 48, -6, -2, 14]","[0.09090909090909091, 0.05263157894736842, 0.045454545454545456, -0.5, -0.3333333333333333, -0.07692307692307693, 0.3333333333333333, 0.041666666666666664, -0.3333333333333333, -1.0, 0.14285714285714285]","[11, 19, 22, -2, -3, -13, 3, 2, 24, -3, -1, 7]","[11, 19, 22, -3, -13, 3, 24, -3, -1, 7]",64,64,86,128,-1.536737385421596,66,66,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,1
35,"[6, -13]","[-13, 6]","[8, -11]","[12, -26]","[0.16666666666666666, -0.07692307692307693]","[6, -13, 2]",[-13],-7,-7,-3,-14,0.08974358974358973,-5,-13,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
36,"[-30, 11, -8, 0, -30, 11]","[11, 0, 11, -30, -30, -8]","[-28, 13, -6, 2, -28, 13]","[-60, 22, -16, 0, -60, 22]","[-0.03333333333333333, 0.09090909090909091, -0.125, 'ZeroDivisionError', -0.03333333333333333, 0.09090909090909091]","[2, -30, 11, -8, 0, -30, 11]","[-30, 11, -8, -30, 11]",-46,-46,-34,-92,error,-44,-46,No-violate,Violate,error,No-violate,No-violate,0,1,error,0,0
37,"[15, 9, 9, -17, 6, 19, 4, -9, 21, 12, 11, 19, 20, 12]","[12, 15, 19, 6, 9, 11, 20, 21, -9, 19, 9, 4, 12, -17]","[17, 11, 11, -15, 8, 21, 6, -7, 23, 14, 13, 21, 22, 14]","[30, 18, 18, -34, 12, 38, 8, -18, 42, 24, 22, 38, 40, 24]","[0.06666666666666667, 0.1111111111111111, 0.1111111111111111, -0.058823529411764705, 0.16666666666666666, 0.05263157894736842, 0.25, -0.1111111111111111, 0.047619047619047616, 0.08333333333333333, 0.09090909090909091, 0.05263157894736842, 0.05, 0.08333333333333333]","[15, 9, 2, 9, -17, 6, 19, 4, -9, 21, 12, 11, 19, 20, 12]","[15, 9, 9, -17, 6, 19, 4, -9, 12, 11, 19, 20, 12]",131,131,159,262,0.9960788781222217,133,110,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
38,"[-32, -23, 19, 22, 15, -5, -19]","[22, -5, 15, -19, -23, -32, 19]","[-30, -21, 21, 24, 17, -3, -17]","[-64, -46, 38, 44, 30, -10, -38]","[-0.03125, -0.043478260869565216, 0.05263157894736842, 0.045454545454545456, 0.06666666666666667, -0.2, -0.05263157894736842]","[-32, -23, 19, 22, 15, 2, -5, -19]","[-32, -23, 19, 22, 15, -5]",-23,-23,-9,-46,-0.1626070487483531,-21,-4,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
39,"[-14, -16, 13, -18, -10]","[-14, 13, -10, -16, -18]","[-12, -14, 15, -16, -8]","[-28, -32, 26, -36, -20]","[-0.07142857142857142, -0.0625, 0.07692307692307693, -0.05555555555555555, -0.1]","[-14, -16, 13, -18, -10, 2]","[-14, -16, -18, -10]",-45,-45,-35,-90,-0.21256105006105006,-43,-58,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
40,"[9, -4, -3, 20, -15, -15, 27]","[27, -3, -15, -15, 20, 9, -4]","[11, -2, -1, 22, -13, -13, 29]","[18, -8, -6, 40, -30, -30, 54]","[0.1111111111111111, -0.25, -0.3333333333333333, 0.05, -0.06666666666666667, -0.06666666666666667, 0.037037037037037035]","[9, -4, -3, 2, 20, -15, -15, 27]","[9, -4, -3, 20, -15, 27]",19,19,33,38,-0.5185185185185186,21,34,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,1
41,"[-16, 24, -1, -8, 16, -1]","[24, 16, -1, -16, -8, -1]","[-14, 26, 1, -6, 18, 1]","[-32, 48, -2, -16, 32, -2]","[-0.0625, 0.041666666666666664, -1.0, -0.125, 0.0625, -1.0]","[-16, 24, 2, -1, -8, 16, -1]","[-16, -1, -8, 16, -1]",14,14,26,28,-2.083333333333333,16,-10,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
42,"[-1, 13, 22, -9, 27, 0]","[22, 27, 0, 13, -9, -1]","[1, 15, 24, -7, 29, 2]","[-2, 26, 44, -18, 54, 0]","[-1.0, 0.07692307692307693, 0.045454545454545456, -0.1111111111111111, 0.037037037037037035, 'ZeroDivisionError']","[-1, 13, 22, -9, 27, 2, 0]","[-1, 13, 22, -9, 0]",52,52,64,104,error,54,25,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
43,[],[],[],[],[],[2],[],0,0,0,0,0,2,0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
44,"[1, 26, 22, -10, 20, 4]","[1, 26, 4, -10, 22, 20]","[3, 28, 24, -8, 22, 6]","[2, 52, 44, -20, 40, 8]","[1.0, 0.038461538461538464, 0.045454545454545456, -0.1, 0.05, 0.25]","[1, 26, 2, 22, -10, 20, 4]","[1, 26, 22, -10, 20]",63,63,75,126,1.283916083916084,65,59,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
45,[5],[5],[7],[10],[0.2],"[5, 2]",[],5,5,7,10,0.2,7,0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
46,"[-12, 23, 0, -16, 2, -6, -5]","[-6, -5, 0, 2, 23, -16, -12]","[-10, 25, 2, -14, 4, -4, -3]","[-24, 46, 0, -32, 4, -12, -10]","[-0.08333333333333333, 0.043478260869565216, 'ZeroDivisionError', -0.0625, 0.5, -0.16666666666666666, -0.2]","[-12, 23, 0, 2, -16, 2, -6, -5]","[-12, 0, -16, 2, -6, -5]",-14,-14,0,-28,error,-12,-37,No-violate,Violate,error,No-violate,No-violate,0,1,error,0,0
47,"[11, 8, 10, 7, -17, 25, 5, 21, 25, 6, 19, -1]","[19, 10, 7, 25, 5, 6, 25, 21, 11, 8, -17, -1]","[13, 10, 12, 9, -15, 27, 7, 23, 27, 8, 21, 1]","[22, 16, 20, 14, -34, 50, 10, 42, 50, 12, 38, -2]","[0.09090909090909091, 0.125, 0.1, 0.14285714285714285, -0.058823529411764705, 0.04, 0.2, 0.047619047619047616, 0.04, 0.16666666666666666, 0.05263157894736842, -1.0]","[11, 8, 10, 7, -17, 25, 5, 21, 25, 6, 2, 19, -1]","[11, 8, 10, 7, -17, 25, 5, 21, 25, 19, -1]",119,119,143,238,-0.053140002412448206,121,113,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
48,[],[],[],[],[],[2],[],0,0,0,0,0,2,0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
49,"[7, 3, -7, -10, -10, 20, 14, -5, -10, 0, 16, 1, 22]","[14, 3, -7, -10, 7, 16, -10, 0, 20, 1, -10, 22, -5]","[9, 5, -5, -8, -8, 22, 16, -3, -8, 2, 18, 3, 24]","[14, 6, -14, -20, -20, 40, 28, -10, -20, 0, 32, 2, 44]","[0.14285714285714285, 0.3333333333333333, -0.14285714285714285, -0.1, -0.1, 0.05, 0.07142857142857142, -0.2, -0.1, 'ZeroDivisionError', 0.0625, 1.0, 0.045454545454545456]","[7, 3, -7, -10, -10, 20, 14, -5, -10, 0, 16, 1, 22, 2]","[7, 3, -7, -10, -10, 20, 14, -10, 0, 16, 1, 22]",41,41,67,82,error,43,46,No-violate,No-violate,error,No-violate,Violate,0,0,error,0,1
50,"[20, -17, 6]","[-17, 20, 6]","[22, -15, 8]","[40, -34, 12]","[0.05, -0.058823529411764705, 0.16666666666666666]","[20, -17, 2, 6]","[-17, 6]",9,9,15,18,0.15784313725490196,11,-11,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
51,"[-19, -17, -16, 24, 14, -21, 13, -26, -26, 21, -17]","[-16, 13, -19, -26, -21, -17, 21, 24, -17, 14, -26]","[-17, -15, -14, 26, 16, -19, 15, -24, -24, 23, -15]","[-38, -34, -32, 48, 28, -42, 26, -52, -52, 42, -34]","[-0.05263157894736842, -0.058823529411764705, -0.0625, 0.041666666666666664, 0.07142857142857142, -0.047619047619047616, 0.07692307692307693, -0.038461538461538464, -0.038461538461538464, 0.047619047619047616, -0.058823529411764705]","[-19, 2, -17, -16, 24, 14, -21, 13, -26, -26, 21, -17]","[-19, -17, 24, 14, -21, 13, -26, -26, 21, -17]",-70,-70,-48,-140,-0.11968339967565976,-68,-54,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
52,"[-20, -14, 6, -14, 0, -20, 6, 11, 10]","[-20, 11, -20, -14, 6, 10, -14, 6, 0]","[-18, -12, 8, -12, 2, -18, 8, 13, 12]","[-40, -28, 12, -28, 0, -40, 12, 22, 20]","[-0.05, -0.07142857142857142, 0.16666666666666666, -0.07142857142857142, 'ZeroDivisionError', -0.05, 0.16666666666666666, 0.09090909090909091, 0.1]","[-20, -14, 6, -14, 0, -20, 6, 2, 11, 10]","[-20, 6, -14, 0, -20, 6, 11, 10]",-35,-35,-17,-70,error,-33,-21,No-violate,Violate,error,No-violate,Violate,0,1,error,0,1
53,[],[],[],[],[],[2],[],0,0,0,0,0,2,0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
